"ID","QuestName","Description","Objective","Type","Target","Amount","Category","StartSwitch","CompleteSwitch","Map","MapID","MapFile","Event","EventID","EventX","EventY","Page","Command"
"001","森林的異變","村長請米潔雅前往森林，調查哥布林異變事件。","擊殺森林哥布林","kill","1","5","main","0","3","維爾島村長家","010","Map010.json","村長","7","11","10","1","StartQuest"
"002","打聽影蝕碎片消息","前往晨曦城打探影蝕碎片的來源，抵達晨曦港後穿越森林可抵達晨曦城。","前往晨曦城打探消息","count","1","1","main","0","0","維爾島村長家","010","Map010.json","村長","7","11","10","3","StartQuest"
"003","蒐集影蝕碎片情報","調查晨曦城內影蝕碎片相關的情報。","蒐集影蝕碎片情報","count","6","2","main","12","15","晨曦城主家","015","Map015.json","艾德蒙","6","9","6","1","StartQuest"
"004","艾娜的蘑菇孢子","艾娜需要蘑菇孢子製作藥水，請幫她收集蘑菇孢子。","取得蘑菇孢子","item","92","5","side","18","19","艾娜家","012","Map012.json","艾娜","3","7","7","3","StartQuest"
"005","雷恩發布尋人任務","到森林找伐木工傑克","找到傑克","count","1","1","side","6","7","維爾漁村","003","Map003.json","雷恩伐木工","13","7","8","2","StartQuest"
"006","冒險者登錄試煉","完成公會指定的試煉，
取得未鑑定物品並完成鑑定。","取得鑑定後的物品","item","202","1","side","32","33","冒險者公會-職員室","019","Map019.json","羅恩任務管理員","5","9","4","1","StartQuest"
"006","冒險者登錄試煉","完成公會指定的試煉，
取得未鑑定物品並完成鑑定。","取得鑑定後的物品","item","202","1","side","32","33","冒險者公會-職員室","019","Map019.json","羅恩任務管理員","5","9","4","3","StartQuest"
"007","晨曦冒險者公會哥布林討伐委託","討伐晨曦城附近森林中的哥布林。","討伐哥布林","kill","1","5","side","23","24","冒險者公會-職員室","019","Map019.json","羅恩任務管理員","5","9","4","2","StartQuest"
"007","晨曦冒險者公會哥布林討伐委託","討伐晨曦城附近森林中的哥布林。","討伐哥布林","kill","1","5","side","23","24","冒險者公會-職員室","019","Map019.json","羅恩任務管理員","5","9","4","3","StartQuest"
"008","晨曦冒險公會森林採集委託","前往晨曦城附近森林採集","收集物品","item","51","5","side","25","26","冒險者公會-職員室","019","Map019.json","羅恩任務管理員","5","9","4","2","StartQuest"
"008","晨曦冒險公會森林採集委託","前往晨曦城附近森林採集","收集物品","item","51","5","side","25","26","冒險者公會-職員室","019","Map019.json","羅恩任務管理員","5","9","4","3","StartQuest"
"009","晨曦冒險者公會尋找失物委託","尋找在晨曦城附近遺失的古老銀製懷錶","找回古老的銀製懷錶","count","97","1","side","27","28","冒險者公會-職員室","019","Map019.json","羅恩任務管理員","5","9","4","2","StartQuest"
"009","晨曦冒險者公會尋找失物委託","尋找在晨曦城附近遺失的古老銀製懷錶","找回古老的銀製懷錶","count","97","1","side","27","28","冒險者公會-職員室","019","Map019.json","羅恩任務管理員","5","9","4","3","StartQuest"
